,Year,Period,State,State ANSI,Data Item,Value
676,2005,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.15
635,2006,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.73
594,2007,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
553,2008,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.42
512,2009,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.79
471,2010,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.55
430,2011,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.27
389,2012,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.81
348,2013,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.12
307,2014,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.13
266,2015,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.11
225,2016,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
176,2017,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.64
126,2018,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
84,2019,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.86
43,2020,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.49
2,2021,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.4
1005,1997,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.05
964,1998,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.66
923,1999,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.5
882,2000,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.44
841,2001,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.45
800,2002,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.73
759,2003,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.9
718,2004,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.65
677,2005,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.7
636,2006,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.35
595,2007,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.28
554,2008,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.77
513,2009,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.28
472,2010,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.08
431,2011,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.41
390,2012,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.68
349,2013,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.33
308,2014,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.81
267,2015,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.39
226,2016,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.69
177,2017,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.2
127,2018,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.4
85,2019,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.6
44,2020,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.75
3,2021,MARKETING YEAR,CALIFORNIA,6,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.15
1006,1997,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.59
965,1998,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.96
924,1999,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.84
883,2000,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.08
842,2001,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.13
801,2002,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.53
760,2003,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.49
719,2004,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.23
678,2005,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.23
637,2006,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.02
596,2007,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.96
555,2008,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.14
514,2009,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.68
473,2010,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.98
432,2011,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.15
391,2012,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.86
350,2013,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.61
309,2014,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.95
268,2015,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
227,2016,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.42
178,2017,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.37
128,2018,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.7
86,2019,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.68
45,2020,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.62
4,2021,MARKETING YEAR,COLORADO,8,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.7
1007,1997,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.95
966,1998,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.37
925,1999,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.34
884,2000,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.01
843,2001,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.15
802,2002,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.85
761,2003,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.87
720,2004,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.19
679,2005,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.25
638,2006,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.61
597,2007,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.76
556,2008,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.57
515,2009,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
474,2010,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.21
433,2011,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.93
392,2012,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.55
351,2013,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.94
310,2014,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.83
269,2015,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
228,2016,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.09
180,2017,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.02
130,2018,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.11
87,2019,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.3
46,2020,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.6
5,2021,MARKETING YEAR,DELAWARE,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.95
1008,1997,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.9
967,1998,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.3
926,1999,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.32
885,2000,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.24
844,2001,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.25
803,2002,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.6
762,2003,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.55
721,2004,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.3
680,2005,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.0
639,2006,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.8
598,2007,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.0
557,2008,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.5
516,2009,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.0
475,2010,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.7
434,2011,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.65
393,2012,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.5
352,2013,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.51
311,2014,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.65
270,2015,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
229,2016,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.93
181,2017,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.47
131,2018,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.47
88,2019,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.39
47,2020,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.67
6,2021,MARKETING YEAR,FLORIDA,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.05
1009,1997,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.9
968,1998,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.46
927,1999,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.27
886,2000,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.06
845,2001,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.32
804,2002,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.7
763,2003,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.45
722,2004,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.2
681,2005,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.2
640,2006,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.0
599,2007,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.5
558,2008,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.5
517,2009,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.1
476,2010,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.95
435,2011,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.3
394,2012,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.9
353,2013,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.17
312,2014,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.17
271,2015,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.9
230,2016,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
182,2017,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.33
132,2018,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.35
89,2019,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.53
48,2020,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.08
7,2021,MARKETING YEAR,GEORGIA,13,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.8
1010,1997,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.03
969,1998,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.55
928,1999,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.34
887,2000,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.63
846,2001,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.64
805,2002,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.91
764,2003,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.94
723,2004,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.82
682,2005,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.68
641,2006,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.89
600,2007,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.96
559,2008,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.32
518,2009,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.23
477,2010,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.27
436,2011,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.96
395,2012,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.1
354,2013,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.91
313,2014,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.16
272,2015,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.71
231,2016,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.44
